industry,sub_industry,total_market_cap,num_of_companies,companies,top_mcap_gainers,top_price_change
Banks,Banks,3074372234739712,47,"[{""symbol"":""BBCA.JK"",""name"":""PT Bank Central Asia Tbk."",""market_cap_rank"":2,""employee_num"":27491,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":17},{""name"":""competitive"",""point"":21.5,""maxpoint"":25.5},{""name"":""future"",""point"":30,""maxpoint"":30},{""name"":""financials"",""point"":20,""maxpoint"":22.5},{""name"":""dividend"",""point"":9,""maxpoint"":21.5},{""updatedAt"":""2025-01-07T23:01:56.405Z""}]},{""symbol"":""BBRI.JK"",""name"":""PT Bank Rakyat Indonesia (Persero) Tbk"",""market_cap_rank"":6,""employee_num"":80302,""point_summaries"":[{""name"":""value"",""point"":5.5,""maxpoint"":20},{""name"":""competitive"",""point"":15,""maxpoint"":25.5},{""name"":""future"",""point"":30,""maxpoint"":30},{""name"":""financials"",""point"":13,""maxpoint"":22.5},{""name"":""dividend"",""point"":13,""maxpoint"":19.5},{""updatedAt"":""2025-01-11T23:03:50.989Z""}]},{""symbol"":""BMRI.JK"",""name"":""PT Bank Mandiri (Persero) Tbk"",""market_cap_rank"":7,""employee_num"":38342,""point_summaries"":[{""name"":""value"",""point"":3.5,""maxpoint"":17},{""name"":""competitive"",""point"":15,""maxpoint"":25.5},{""name"":""future"",""point"":30,""maxpoint"":30},{""name"":""financials"",""point"":13.5,""maxpoint"":22.5},{""name"":""dividend"",""point"":13,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:38.426Z""}]}]","{""symbol"":""INPC.JK"",""name"":""Bank Artha Graha Internasional Tbk"",""market_cap_change"":1.85333343933704}","{""symbol"":""INPC.JK"",""name"":""Bank Artha Graha Internasional Tbk"",""price_change"":1.85333333333333}"
Coal,Coal Production,1487050159300608,26,"[{""symbol"":""BYAN.JK"",""name"":""Bayan Resources Tbk"",""market_cap_rank"":3,""employee_num"":4091,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":23},{""name"":""competitive"",""point"":15,""maxpoint"":25.5},{""name"":""future"",""point"":4.5,""maxpoint"":18},{""name"":""financials"",""point"":21.5,""maxpoint"":27},{""name"":""dividend"",""point"":7,""maxpoint"":21.5},{""updatedAt"":""2025-01-09T23:02:53.099Z""}]},{""symbol"":""DSSA.JK"",""name"":""Dian Swastatika Sentosa Tbk"",""market_cap_rank"":10,""employee_num"":1840,""point_summaries"":[{""name"":""value"",""point"":3,""maxpoint"":23},{""name"":""competitive"",""point"":21,""maxpoint"":25.5},{""name"":""future"",""point"":4.5,""maxpoint"":18},{""name"":""financials"",""point"":18.5,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:57.328Z""}]},{""symbol"":""CUAN.JK"",""name"":""PT Petrindo Jaya Kreasi Tbk"",""market_cap_rank"":13,""employee_num"":7919,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":23},{""name"":""competitive"",""point"":10,""maxpoint"":25.5},{""name"":""future"",""point"":4.5,""maxpoint"":18},{""name"":""financials"",""point"":4.5,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:57.287Z""}]}]","{""symbol"":""DSSA.JK"",""name"":""Dian Swastatika Sentosa Tbk"",""market_cap_change"":2.85966124205966}","{""symbol"":""DSSA.JK"",""name"":""Dian Swastatika Sentosa Tbk"",""price_change"":3.80519480519481}"
Electric Utilities,Electric Utilities,1346458861215744,9,"[{""symbol"":""BREN.JK"",""name"":""PT Barito Renewables Energy Tbk."",""market_cap_rank"":1,""employee_num"":638,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":23},{""name"":""competitive"",""point"":21,""maxpoint"":21},{""name"":""future"",""point"":9.5,""maxpoint"":18},{""name"":""financials"",""point"":4.5,""maxpoint"":27},{""name"":""dividend"",""point"":6.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.188Z""}]},{""symbol"":""PGEO.JK"",""name"":""PT Pertamina Geothermal Energy Tbk"",""market_cap_rank"":53,""employee_num"":534,""point_summaries"":[{""name"":""value"",""point"":5.5,""maxpoint"":23},{""name"":""competitive"",""point"":7.5,""maxpoint"":21},{""name"":""future"",""point"":15.5,""maxpoint"":30},{""name"":""financials"",""point"":19.5,""maxpoint"":27},{""name"":""dividend"",""point"":6,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.848Z""}]},{""symbol"":""POWR.JK"",""name"":""PT Cikarang Listrindo Tbk."",""market_cap_rank"":136,""employee_num"":810,""point_summaries"":[{""name"":""value"",""point"":15,""maxpoint"":23},{""name"":""competitive"",""point"":6,""maxpoint"":21},{""name"":""future"",""point"":9.5,""maxpoint"":18},{""name"":""financials"",""point"":12,""maxpoint"":27},{""name"":""dividend"",""point"":15,""maxpoint"":21.5},{""updatedAt"":""2025-01-11T23:03:52.160Z""}]}]","{""symbol"":""LAPD.JK"",""name"":""Leyand International Tbk"",""market_cap_change"":2.00000017211458}","{""symbol"":""LAPD.JK"",""name"":""Leyand International Tbk"",""price_change"":2}"
Chemicals,Basic Chemicals,704198701490176,20,"[{""symbol"":""TPIA.JK"",""name"":""PT Chandra Asri Pacific Tbk"",""market_cap_rank"":5,""employee_num"":2357,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":23},{""name"":""competitive"",""point"":16.5,""maxpoint"":21},{""name"":""future"",""point"":22,""maxpoint"":30},{""name"":""financials"",""point"":12.5,""maxpoint"":27},{""name"":""dividend"",""point"":3.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:58.129Z""}]},{""symbol"":""BRPT.JK"",""name"":""Barito Pacific Tbk"",""market_cap_rank"":22,""employee_num"":3325,""point_summaries"":[{""name"":""value"",""point"":2,""maxpoint"":23},{""name"":""competitive"",""point"":13,""maxpoint"":21},{""name"":""future"",""point"":22,""maxpoint"":30},{""name"":""financials"",""point"":8,""maxpoint"":27},{""name"":""dividend"",""point"":3.5,""maxpoint"":19.5},{""updatedAt"":""2025-01-05T23:01:57.206Z""}]},{""symbol"":""ESSA.JK"",""name"":""ESSA Industries Indonesia Tbk"",""market_cap_rank"":108,""employee_num"":391,""point_summaries"":[{""name"":""value"",""point"":5,""maxpoint"":23},{""name"":""competitive"",""point"":12,""maxpoint"":21},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":20.5,""maxpoint"":27},{""name"":""dividend"",""point"":3.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.367Z""}]}]","{""symbol"":""ESSA.JK"",""name"":""ESSA Industries Indonesia Tbk"",""market_cap_change"":0.44642861412946}","{""symbol"":""ESSA.JK"",""name"":""ESSA Industries Indonesia Tbk"",""price_change"":0.446428571428571}"
Processed Foods,Processed Foods,580239343906816,29,"[{""symbol"":""PANI.JK"",""name"":""PT Pantai Indah Kapuk Dua Tbk."",""market_cap_rank"":8,""employee_num"":249,""point_summaries"":[{""name"":""value"",""point"":2,""maxpoint"":23},{""name"":""competitive"",""point"":22.5,""maxpoint"":25.5},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":20,""maxpoint"":27},{""name"":""dividend"",""point"":3,""maxpoint"":19.5},{""updatedAt"":""2025-01-05T23:01:57.830Z""}]},{""symbol"":""ICBP.JK"",""name"":""Indofood CBP Sukses Makmur Tbk"",""market_cap_rank"":15,""employee_num"":35432,""point_summaries"":[{""name"":""value"",""point"":5.5,""maxpoint"":23},{""name"":""competitive"",""point"":20,""maxpoint"":25.5},{""name"":""future"",""point"":24,""maxpoint"":30},{""name"":""financials"",""point"":12,""maxpoint"":27},{""name"":""dividend"",""point"":7.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:38.647Z""}]},{""symbol"":""INDF.JK"",""name"":""Indofood Sukses Makmur Tbk"",""market_cap_rank"":28,""employee_num"":94443,""point_summaries"":[{""name"":""value"",""point"":17.5,""maxpoint"":23},{""name"":""competitive"",""point"":18.5,""maxpoint"":25.5},{""name"":""future"",""point"":24,""maxpoint"":30},{""name"":""financials"",""point"":12,""maxpoint"":27},{""name"":""dividend"",""point"":12.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.547Z""}]}]","{""symbol"":""PANI.JK"",""name"":""PT Pantai Indah Kapuk Dua Tbk."",""market_cap_change"":2.44007409377734}","{""symbol"":""PANI.JK"",""name"":""PT Pantai Indah Kapuk Dua Tbk."",""price_change"":2.18407960199005}"
Wireless Telecommunication Services,Wireless Telecommunication Services,321608275951616,15,"[{""symbol"":""ISAT.JK"",""name"":""PT Indosat Tbk"",""market_cap_rank"":23,""employee_num"":4067,""point_summaries"":[{""name"":""value"",""point"":7,""maxpoint"":20},{""name"":""competitive"",""point"":12.5,""maxpoint"":25.5},{""name"":""future"",""point"":28,""maxpoint"":30},{""name"":""financials"",""point"":4.5,""maxpoint"":27},{""name"":""dividend"",""point"":6,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:38.685Z""}]},{""symbol"":""MTEL.JK"",""name"":""PT Dayamitra Telekomunikasi Tbk"",""market_cap_rank"":35,""employee_num"":506,""point_summaries"":[{""name"":""value"",""point"":5,""maxpoint"":23},{""name"":""competitive"",""point"":15,""maxpoint"":25.5},{""name"":""future"",""point"":22,""maxpoint"":30},{""name"":""financials"",""point"":11,""maxpoint"":27},{""name"":""dividend"",""point"":6,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.770Z""}]},{""symbol"":""SUPR.JK"",""name"":""Solusi Tunas Pratama Tbk"",""market_cap_rank"":37,""employee_num"":179,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":20},{""name"":""competitive"",""point"":16,""maxpoint"":25.5},{""name"":""future"",""point"":16,""maxpoint"":18},{""name"":""financials"",""point"":21.5,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:58.087Z""}]}]","{""symbol"":""BALI.JK"",""name"":""PT Bali Towerindo Sentra Tbk."",""market_cap_change"":1.18124998750772}","{""symbol"":""BALI.JK"",""name"":""PT Bali Towerindo Sentra Tbk."",""price_change"":1.18125}"
Metals & Minerals,Diversified Metals & Minerals,257970021605376,15,"[{""symbol"":""BRMS.JK"",""name"":""Bumi Resources Minerals Tbk"",""market_cap_rank"":32,""employee_num"":802,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":20},{""name"":""competitive"",""point"":18,""maxpoint"":21},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":14.5,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:57.188Z""}]},{""symbol"":""MBMA.JK"",""name"":""PT Merdeka Battery Materials Tbk"",""market_cap_rank"":38,""employee_num"":3487,""point_summaries"":[{""name"":""value"",""point"":1,""maxpoint"":23},{""name"":""competitive"",""point"":15,""maxpoint"":21},{""name"":""future"",""point"":18,""maxpoint"":30},{""name"":""financials"",""point"":13.5,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-09T23:02:53.869Z""}]},{""symbol"":""NCKL.JK"",""name"":""PT Trimegah Bangun Persada Tbk."",""market_cap_rank"":39,""employee_num"":10599,""point_summaries"":[{""name"":""value"",""point"":3.5,""maxpoint"":23},{""name"":""competitive"",""point"":13.5,""maxpoint"":21},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":20.5,""maxpoint"":27},{""name"":""dividend"",""point"":12,""maxpoint"":21.5},{""updatedAt"":""2024-12-31T23:02:43.355Z""}]}]","{""symbol"":""DAAZ.JK"",""name"":""PT Daaz Bara Lestari Tbk"",""market_cap_change"":1.17757015479856}","{""symbol"":""DAAZ.JK"",""name"":""PT Daaz Bara Lestari Tbk"",""price_change"":1.17757009345794}"
Real Estate Management & Development,Real Estate Development & Management,239894574243840,92,"[{""symbol"":""MKPI.JK"",""name"":""Metropolitan Kentjana Tbk"",""market_cap_rank"":81,""employee_num"":905,""point_summaries"":[{""name"":""value"",""point"":1,""maxpoint"":23},{""name"":""competitive"",""point"":18,""maxpoint"":25.5},{""name"":""future"",""point"":10.5,""maxpoint"":18},{""name"":""financials"",""point"":18,""maxpoint"":27},{""name"":""dividend"",""point"":7,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.748Z""}]},{""symbol"":""MPRO.JK"",""name"":""PT Maha Properti Indonesia Tbk."",""market_cap_rank"":86,""employee_num"":12,""point_summaries"":[{""name"":""value"",""point"":2,""maxpoint"":23},{""name"":""competitive"",""point"":7.5,""maxpoint"":25.5},{""name"":""future"",""point"":10.5,""maxpoint"":18},{""name"":""financials"",""point"":9,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-01T23:02:36.568Z""}]},{""symbol"":""BSDE.JK"",""name"":""PT Bumi Serpong Damai Tbk"",""market_cap_rank"":89,""employee_num"":3938,""point_summaries"":[{""name"":""value"",""point"":13,""maxpoint"":23},{""name"":""competitive"",""point"":18,""maxpoint"":25.5},{""name"":""future"",""point"":16.5,""maxpoint"":30},{""name"":""financials"",""point"":13.5,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-11T23:03:51.122Z""}]}]","{""symbol"":""SMDM.JK"",""name"":""Suryamas Dutamakmur Tbk"",""market_cap_change"":1.74869122671441}","{""symbol"":""SMDM.JK"",""name"":""Suryamas Dutamakmur Tbk"",""price_change"":1.74869109947644}"
Online Applications & Services,Online Applications & Services,206394589241344,19,"[{""symbol"":""GOTO.JK"",""name"":""PT GoTo Gojek Tokopedia Tbk"",""market_cap_rank"":20,""employee_num"":3431,""point_summaries"":[{""name"":""value"",""point"":3.5,""maxpoint"":23},{""name"":""competitive"",""point"":15.5,""maxpoint"":21},{""name"":""future"",""point"":27.5,""maxpoint"":30},{""name"":""financials"",""point"":9,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-03T23:02:38.598Z""}]},{""symbol"":""BELI.JK"",""name"":""PT Global Digital Niaga Tbk"",""market_cap_rank"":31,""employee_num"":4408,""point_summaries"":[{""name"":""value"",""point"":2,""maxpoint"":23},{""name"":""competitive"",""point"":12.5,""maxpoint"":21},{""name"":""future"",""point"":21.5,""maxpoint"":30},{""name"":""financials"",""point"":12,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-03T23:02:38.410Z""}]},{""symbol"":""EMTK.JK"",""name"":""Elang Mahkota Teknologi Tbk"",""market_cap_rank"":61,""employee_num"":9421,""point_summaries"":[{""name"":""value"",""point"":5,""maxpoint"":23},{""name"":""competitive"",""point"":15,""maxpoint"":21},{""name"":""future"",""point"":27.5,""maxpoint"":30},{""name"":""financials"",""point"":18.5,""maxpoint"":27},{""name"":""dividend"",""point"":5,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:38.547Z""}]}]","{""symbol"":""WIFI.JK"",""name"":""PT Solusi Sinergi Digital Tbk"",""market_cap_change"":1.64516115736284}","{""symbol"":""WIFI.JK"",""name"":""PT Solusi Sinergi Digital Tbk"",""price_change"":1.64516129032258}"
Multi-sector Holdings,Multi-sector Holdings,200958232586240,5,"[{""symbol"":""ASII.JK"",""name"":""Astra International Tbk"",""market_cap_rank"":11,""employee_num"":136229,""point_summaries"":[{""name"":""value"",""point"":12.5,""maxpoint"":23},{""name"":""competitive"",""point"":12,""maxpoint"":21},{""name"":""future"",""point"":0,""maxpoint"":30},{""name"":""financials"",""point"":18.5,""maxpoint"":27},{""name"":""dividend"",""point"":14.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-01T23:02:35.710Z""}]},{""symbol"":""BNBR.JK"",""name"":""Bakrie & Brothers Tbk"",""market_cap_rank"":184,""employee_num"":2778,""point_summaries"":[{""name"":""value"",""point"":6,""maxpoint"":23},{""name"":""competitive"",""point"":10.5,""maxpoint"":21},{""name"":""future"",""point"":0,""maxpoint"":18},{""name"":""financials"",""point"":16.5,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:57.169Z""}]},{""symbol"":""BHIT.JK"",""name"":""PT MNC Asia Holding Tbk"",""market_cap_rank"":271,""employee_num"":9732,""point_summaries"":[{""name"":""value"",""point"":12,""maxpoint"":23},{""name"":""competitive"",""point"":6,""maxpoint"":21},{""name"":""future"",""point"":0,""maxpoint"":18},{""name"":""financials"",""point"":12,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:57.130Z""}]}]","{""symbol"":""BNBR.JK"",""name"":""Bakrie & Brothers Tbk"",""market_cap_change"":4.07323722711954}","{""symbol"":""ASII.JK"",""name"":""Astra International Tbk"",""price_change"":-0.140350877192982}"
